predictor_set,block,median_r2,min_r2,max_r2,n
event means,random_fire,0.3627667172640187,0.15723030920046965,0.559557336655087,237235.0
event means,region_block,0.34478415325115,0.14589374876146122,0.5311929059949088,237235.0
event means,region_year_hash,0.3619607735467865,0.15674562391577074,0.5586835817017972,237235.0
event means,year_block,0.3609197957279062,0.15604192130517436,0.5570352500389046,237235.0
extreme days,random_fire,0.0001713796814820645,5.730719495955494e-05,0.009195876804419911,237235.0
extreme days,region_block,-0.0015383226552694307,-0.0028687878796229693,-4.888096684951826e-05,237235.0
extreme days,region_year_hash,5.007229018560988e-05,-0.0001445850884631561,0.008107977698787572,237235.0
extreme days,year_block,8.766390788594869e-05,-6.848850101714987e-05,0.008256835879710822,237235.0
region-season anomalies,random_fire,0.0020261818459682,0.0006019331618098978,0.006859564197705725,237235.0
region-season anomalies,region_block,-0.000616197650630923,-0.0035010195479590056,9.238901752472994e-05,237235.0
region-season anomalies,region_year_hash,0.0017620702574974723,0.0005607246643688502,0.005966694000299033,237235.0
region-season anomalies,year_block,0.0018694441254627492,0.0005603321328671029,0.00581183717674616,237235.0
time-resolved exposure,random_fire,0.015558222638212826,0.0026092444760660305,0.07232582980113211,63840.0
time-resolved exposure,region_block,0.0066065797405226445,0.0015353649750367016,0.05466454792190467,63840.0
time-resolved exposure,region_year_hash,0.014334156869767911,0.002521604509608588,0.06980214765599935,63840.0
time-resolved exposure,year_block,0.014984105196236441,0.002489940811912228,0.07018299790406979,63840.0
