region,month,maximum_temperature_c,minimum_temperature_c,vpd_kpa,wind_speed_m_s
central,1,17.25,2.5500000000000114,0.56,4.0
central,2,18.350000000000023,3.25,0.61,4.2
central,3,20.450000000000045,4.9500000000000455,0.78,4.1000000000000005
central,4,21.150000000000034,5.75,0.81,4.5
central,5,29.05000000000001,15.75,1.09,3.6
central,6,32.75,20.950000000000045,1.31,3.3000000000000003
central,7,33.650000000000034,22.55000000000001,1.25,3.1
central,8,33.950000000000045,21.75,1.52,3.1
central,9,30.950000000000045,18.05000000000001,1.29,3.2
central,10,26.05000000000001,11.350000000000023,1.0,3.4000000000000004
central,11,21.450000000000045,6.650000000000034,0.72,3.5
central,12,18.650000000000034,4.9500000000000455,0.56,3.5
east,1,23.450000000000045,9.650000000000034,0.76,3.4000000000000004
east,2,24.650000000000034,10.850000000000023,0.84,3.4000000000000004
east,3,24.25,9.25,0.91,3.9000000000000004
east,4,28.55000000000001,14.450000000000045,1.1300000000000001,3.7
east,5,31.05000000000001,17.850000000000023,1.2,3.6
east,6,33.25,21.05000000000001,1.26,3.1
east,7,33.75,22.350000000000023,1.2,2.8000000000000003
east,8,33.650000000000034,22.55000000000001,1.18,2.9000000000000004
east,9,31.55000000000001,19.950000000000045,1.08,3.0
east,10,28.850000000000023,17.55000000000001,0.89,3.4000000000000004
east,11,26.55000000000001,14.75,0.79,3.4000000000000004
east,12,24.950000000000045,13.25,0.74,3.3000000000000003
intermountain,1,17.950000000000045,2.650000000000034,0.66,4.1000000000000005
intermountain,2,18.350000000000023,2.25,0.74,4.2
intermountain,3,18.55000000000001,2.5500000000000114,0.75,4.6000000000000005
intermountain,4,19.650000000000034,3.9500000000000455,0.81,5.2
intermountain,5,20.350000000000023,5.150000000000034,0.86,4.4
intermountain,6,28.55000000000001,11.75,1.55,4.3
intermountain,7,34.150000000000034,20.350000000000023,1.8,4.0
intermountain,8,32.85000000000002,17.25,1.71,3.9000000000000004
intermountain,9,26.450000000000045,9.650000000000034,1.255,3.8000000000000003
intermountain,10,18.75,3.25,0.77,3.9000000000000004
intermountain,11,16.55000000000001,1.75,0.67,4.0
intermountain,12,17.950000000000045,2.4500000000000455,0.68,3.8000000000000003
west,1,13.050000000000011,0.75,0.5,2.8000000000000003
west,2,14.450000000000045,1.4500000000000455,0.6,3.0
west,3,15.850000000000023,1.650000000000034,0.63,3.2
west,4,15.850000000000023,1.4500000000000455,0.67,3.6
west,5,20.05000000000001,5.4500000000000455,0.88,3.3000000000000003
west,6,27.150000000000034,9.950000000000045,1.6,3.3000000000000003
west,7,30.350000000000023,12.75,1.97,3.0
west,8,27.850000000000023,10.450000000000045,1.6600000000000001,3.1
west,9,23.950000000000045,7.4500000000000455,1.24,3.0
west,10,18.05000000000001,4.850000000000023,0.71,3.2
west,11,13.25,2.4500000000000455,0.48,2.9000000000000004
west,12,11.550000000000011,-0.3499999999999659,0.44,2.9000000000000004
